f[Hz]	Si_D(f)	Si_G(f)	Si_G-D(f).re	Si_G-D(f).im
3.5095e+012	2.7069e-016	3.6672e-016	2.5026e-016	9.7257e-017
3.5248e+012	2.7403e-016	3.7304e-016	2.5490e-016	9.8032e-017
3.5400e+012	2.7730e-016	3.7929e-016	2.5948e-016	9.8774e-017
3.5553e+012	2.8049e-016	3.8547e-016	2.6398e-016	9.9495e-017
3.5706e+012	2.8364e-016	3.9162e-016	2.6845e-016	1.0020e-016
3.5858e+012	2.8680e-016	3.9776e-016	2.7292e-016	1.0091e-016
3.6011e+012	2.8995e-016	4.0391e-016	2.7739e-016	1.0162e-016
3.6163e+012	2.9305e-016	4.1005e-016	2.8184e-016	1.0232e-016
3.6316e+012	2.9612e-016	4.1619e-016	2.8629e-016	1.0301e-016
3.6469e+012	2.9920e-016	4.2231e-016	2.9074e-016	1.0369e-016
3.6621e+012	3.0227e-016	4.2843e-016	2.9518e-016	1.0436e-016
3.6774e+012	3.0533e-016	4.3457e-016	2.9964e-016	1.0504e-016
3.6926e+012	3.0840e-016	4.4071e-016	3.0409e-016	1.0571e-016
3.7079e+012	3.1146e-016	4.4685e-016	3.0854e-016	1.0638e-016
3.7231e+012	3.1449e-016	4.5299e-016	3.1300e-016	1.0703e-016
3.7384e+012	3.1749e-016	4.5905e-016	3.1746e-016	1.0762e-016
3.7537e+012	3.2042e-016	4.6500e-016	3.2187e-016	1.0815e-016
3.7689e+012	3.2331e-016	4.7091e-016	3.2623e-016	1.0865e-016
3.7842e+012	3.2619e-016	4.7683e-016	3.3060e-016	1.0915e-016
3.7994e+012	3.2907e-016	4.8276e-016	3.3497e-016	1.0966e-016
3.8147e+012	3.3196e-016	4.8870e-016	3.3936e-016	1.1015e-016
3.8300e+012	3.3484e-016	4.9466e-016	3.4374e-016	1.1065e-016
3.8452e+012	3.3774e-016	5.0058e-016	3.4812e-016	1.1114e-016
3.8605e+012	3.4060e-016	5.0645e-016	3.5247e-016	1.1159e-016
3.8757e+012	3.4344e-016	5.1226e-016	3.5679e-016	1.1201e-016
3.8910e+012	3.4629e-016	5.1802e-016	3.6111e-016	1.1241e-016
3.9062e+012	3.4913e-016	5.2374e-016	3.6542e-016	1.1280e-016
3.9215e+012	3.5197e-016	5.2936e-016	3.6971e-016	1.1318e-016
3.9368e+012	3.5473e-016	5.3483e-016	3.7390e-016	1.1351e-016
3.9520e+012	3.5732e-016	5.4017e-016	3.7797e-016	1.1374e-016
3.9673e+012	3.5977e-016	5.4547e-016	3.8200e-016	1.1393e-016
3.9825e+012	3.6222e-016	5.5078e-016	3.8602e-016	1.1411e-016
3.9978e+012	3.6466e-016	5.5604e-016	3.9004e-016	1.1429e-016
4.0131e+012	3.6710e-016	5.6126e-016	3.9405e-016	1.1445e-016
4.0283e+012	3.6949e-016	5.6641e-016	3.9800e-016	1.1460e-016
4.0436e+012	3.7182e-016	5.7137e-016	4.0184e-016	1.1473e-016
4.0588e+012	3.7406e-016	5.7614e-016	4.0555e-016	1.1485e-016
4.0741e+012	3.7626e-016	5.8083e-016	4.0920e-016	1.1495e-016
4.0894e+012	3.7832e-016	5.8514e-016	4.1264e-016	1.1495e-016
4.1046e+012	3.8002e-016	5.8860e-016	4.1555e-016	1.1479e-016
4.1199e+012	3.8125e-016	5.9120e-016	4.1782e-016	1.1451e-016
4.1351e+012	3.8213e-016	5.9339e-016	4.1971e-016	1.1423e-016
4.1504e+012	3.8293e-016	5.9548e-016	4.2151e-016	1.1392e-016
4.1656e+012	3.8373e-016	5.9752e-016	4.2331e-016	1.1361e-016
4.1809e+012	3.8445e-016	5.9945e-016	4.2505e-016	1.1322e-016
4.1962e+012	3.8505e-016	6.0124e-016	4.2668e-016	1.1275e-016
4.2114e+012	3.8554e-016	6.0292e-016	4.2822e-016	1.1224e-016
4.2267e+012	3.8601e-016	6.0459e-016	4.2974e-016	1.1172e-016
4.2419e+012	3.8649e-016	6.0622e-016	4.3124e-016	1.1121e-016
4.2572e+012	3.8694e-016	6.0768e-016	4.3269e-016	1.1069e-016
4.2725e+012	3.8739e-016	6.0897e-016	4.3410e-016	1.1015e-016
4.2877e+012	3.8776e-016	6.1008e-016	4.3541e-016	1.0954e-016
4.3030e+012	3.8793e-016	6.1080e-016	4.3644e-016	1.0886e-016
4.3182e+012	3.8788e-016	6.1106e-016	4.3714e-016	1.0818e-016
4.3335e+012	3.8777e-016	6.1110e-016	4.3768e-016	1.0751e-016
4.3488e+012	3.8763e-016	6.1104e-016	4.3816e-016	1.0682e-016
4.3640e+012	3.8745e-016	6.1083e-016	4.3857e-016	1.0614e-016
4.3793e+012	3.8716e-016	6.1035e-016	4.3880e-016	1.0544e-016
4.3945e+012	3.8672e-016	6.0958e-016	4.3882e-016	1.0474e-016
4.4098e+012	3.8622e-016	6.0871e-016	4.3876e-016	1.0403e-016
4.4250e+012	3.8574e-016	6.0783e-016	4.3870e-016	1.0332e-016
4.4403e+012	3.8499e-016	6.0670e-016	4.3838e-016	1.0260e-016
4.4556e+012	3.8373e-016	6.0504e-016	4.3754e-016	1.0184e-016
