f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
2.9602e+012	6.4937e-009	-2.6464e-009	-1.7583e-009	-6.8478e-009
2.9755e+012	1.0008e-008	1.4955e-010	-6.4933e-009	1.6151e-009
2.9907e+012	-1.4118e-010	-1.2661e-008	-2.4913e-009	4.7062e-009
3.0060e+012	-1.1000e-009	1.2354e-009	4.8730e-009	6.2275e-009
3.0212e+012	-1.5092e-009	-1.3463e-008	5.0676e-009	-5.8622e-009
3.0365e+012	-1.7053e-008	4.4015e-009	-3.0191e-009	-1.2531e-009
3.0518e+012	1.5525e-009	7.4677e-009	-2.5165e-009	-4.4543e-009
3.0670e+012	-5.4277e-009	5.9682e-009	-1.0297e-008	1.2122e-008
3.0823e+012	1.0737e-008	1.0964e-008	2.2634e-008	8.0099e-009
3.0975e+012	6.4786e-009	-7.5658e-009	-6.3391e-010	-2.2905e-008
3.1128e+012	1.5199e-009	3.1541e-009	-1.0863e-008	7.1809e-009
3.1281e+012	1.0737e-008	-1.0645e-008	6.6320e-009	-3.7627e-009
3.1433e+012	-1.5544e-008	-1.1114e-008	-1.0264e-008	-2.7082e-009
3.1586e+012	-3.9568e-009	1.5055e-008	-1.5020e-009	7.6528e-009
3.1738e+012	1.0059e-008	-5.3793e-009	2.6234e-009	2.9215e-009
3.1891e+012	-9.4309e-009	-3.1488e-009	2.0200e-009	3.8895e-010
3.2043e+012	1.9993e-009	5.5699e-009	2.8393e-009	2.3359e-009
3.2196e+012	-9.1195e-010	-3.2675e-009	4.7504e-009	-6.0239e-009
3.2349e+012	-1.8459e-009	2.3559e-009	-6.4078e-009	-1.0006e-009
3.2501e+012	-2.9575e-009	-2.6109e-010	5.0011e-009	4.4584e-010
3.2654e+012	-3.7103e-009	9.8366e-009	-8.2317e-009	-5.6662e-009
3.2806e+012	1.3112e-008	1.0072e-008	-3.8969e-011	1.0951e-008
3.2959e+012	1.6401e-008	-1.2714e-008	4.0045e-009	-4.3525e-009
3.3112e+012	-1.0897e-008	-1.5328e-008	-9.8946e-010	6.5843e-009
3.3264e+012	-3.7356e-009	7.5991e-009	1.1909e-008	-7.3518e-009
3.3417e+012	1.9211e-009	-1.0398e-008	-1.2050e-008	-9.5896e-009
3.3569e+012	-1.4061e-008	3.1787e-009	-4.3201e-009	8.5184e-009
3.3722e+012	2.1437e-009	3.1898e-009	-3.3211e-011	1.0063e-009
3.3875e+012	-1.2169e-008	5.7766e-009	7.2898e-010	7.5510e-009
3.4027e+012	1.3696e-008	1.8375e-008	1.0328e-008	-3.0026e-009
3.4180e+012	1.1807e-008	-1.4563e-008	-7.7611e-009	-6.9644e-009
3.4332e+012	-9.6992e-009	-8.0503e-011	2.5970e-009	1.2956e-008
3.4485e+012	7.9886e-009	6.4750e-009	1.3385e-008	-1.4747e-008
3.4637e+012	8.0853e-009	-9.6171e-009	-2.1258e-008	-6.1494e-009
3.4790e+012	-5.7949e-009	-9.8050e-009	3.2489e-009	1.5627e-008
3.4943e+012	-6.9277e-009	-2.7692e-009	1.5482e-009	-4.5412e-009
3.5095e+012	-1.3875e-008	2.5859e-009	5.5876e-009	8.5075e-009
3.5248e+012	3.5675e-009	2.1008e-008	5.9618e-009	-1.8087e-008
